item_id,repost_cnt,like_cnt,comment_cnt,is_origin
5062480486993446,0,5,6,0
5062480486993446,0,5,6,0
5065353489810224,7,115,28,0
5065353489810224,7,115,28,0
5065591723660625,20,267,15,0
5065591723660625,20,267,15,0
5066160527378118,2,6,5,0
5066160527378118,2,6,5,0
5066927527166150,4,26,13,0
5066927527166150,4,26,13,0
5070971361036078,7,99,11,0
5070971361036078,7,99,11,0
5077486838744697,8,352,350,0
5077486838744697,8,352,350,0
5087174397264972,0,175,5,0
5087174397264972,0,175,5,0
5089142820047484,0,0,220,0
5089142820047484,0,0,220,0
5089142820047484,0,0,220,0
5089142820047484,0,0,220,0
5094202937447124,373,1917,289,0
5094202937447124,373,1917,289,0
5094780973876590,118,668,200,0
5094780973876590,118,668,200,0
5097465940812274,0,5,17,0
5097465940812274,0,5,17,0
5097633419101015,0,109,10,0
5097633419101015,0,109,10,0
5097721606178080,2,63,25,0
5097721606178080,2,63,25,0
5097729309808575,13,121,11,0
5097729309808575,13,121,11,0
5097735928418368,6,331,34,0
5097735928418368,6,331,34,0
5097738133836414,49,4121,111,0
5097738133836414,49,4121,111,0
5097744777611019,534,79,30,0
5097744777611019,534,79,30,0
5097745615945986,7,1215,99,0
5097745615945986,7,1215,99,0
5097745615945986,7,1215,99,0
5097761718405001,251,807,40,0
5097761718405001,251,807,40,0
5097761718405001,251,807,40,0
5097766018352128,0,9,4,0
5097766018352128,0,9,4,0
5097766948964847,56,697,53,0
5097766948964847,56,697,53,0
5097767477447674,9,216,4,0
5097767477447674,9,216,4,0
5097768066487773,6,383,16,0
5097768066487773,6,383,16,0
5097794146665321,2,103,7,0
5097794146665321,2,103,7,0
5097821533373108,39,1334,70,0
5097821533373108,39,1334,70,0
5097825178748626,5,456,31,0
5097825178748626,5,456,31,0
5097835143629482,40,1794,161,0
5097835143629482,40,1794,161,0
5097844394428402,1,40,20,0
5097844394428402,1,40,20,0
5097861986913696,6,2070,271,0
5097861986913696,6,2070,271,0
5097864269403596,1,104,58,0
5097864269403596,1,104,58,0
5097871302722473,0,0,225,0
5097871302722473,0,0,225,0
5097871302722473,0,0,225,0
5097871302722473,0,0,225,0
5098458237372480,524,623,40,0
5098458237372480,524,623,40,0
5098484519144422,0,127,46,0
5098484519144422,0,127,46,0
5100220512470950,4,249,5,0
5100220512470950,4,249,5,0
5100361519727499,3,214,33,0
5100361519727499,3,214,33,0
5100627021792788,4,6,4,0
5100627021792788,4,6,4,0
5100922859949039,0,34,3,0
5100922859949039,0,34,3,0
5101061702422124,0,220,3,0
5101061702422124,0,220,3,0
5101072164848789,0,68,3,0
5101072164848789,0,68,3,0
5101651376997431,30,92,146,0
5101651376997431,30,92,146,0
5101695454938475,17,737,43,0
5101695454938475,17,737,43,0
5101696128910318,19,1889,45,0
5101696128910318,19,1889,45,0
5101763564933175,1,88,8,0
5101763564933175,1,88,8,0
5101783053762969,0,182,4,0
5101783053762969,0,182,4,0
5102698846487603,0,4,53,0
5102698846487603,0,4,53,0
5102698846487603,0,4,53,0
5102698846487603,0,4,53,0
5105028819587645,7,8,7,0
5105028819587645,7,8,7,0
5105341933817275,160,8753,284,0
5105341933817275,160,8753,284,0
5107176588186428,0,96,34,0
5107176588186428,0,96,34,0
5107215348272357,9,761,22,0
5107215348272357,9,761,22,0
5108902817696710,0,28,67,0
5108902817696710,0,28,67,0
5109983471209644,0,6,10,0
5109983471209644,0,6,10,0
5112273218307253,29,5236,460,0
5112273218307253,29,5236,460,0
5112700197413566,0,174,11,0
5112700197413566,0,174,11,0
5113445902977730,0,0,4,0
5113445902977730,0,0,4,0
5113445902977730,0,0,4,0
5113445902977730,0,0,4,0
5113687086204773,0,2,3,0
5113687086204773,0,2,3,0
5113687167994535,0,2,3,0
5113687167994535,0,2,3,0
5113759582132557,0,54,3,0
5113759582132557,0,54,3,0
5114040802872366,1,236,3,0
5114040802872366,1,236,3,0
5114421877672313,4,98,6,0
5114421877672313,4,98,6,0
5114692523528263,46,1435,31,0
5114692523528263,46,1435,31,0
5114693385717199,7,587,5,0
5114693385717199,7,587,5,0
5114694542558180,1,69,155,0
5114694542558180,1,69,155,0
5114697311848733,51,555,46,0
5114697311848733,51,555,46,0
5114702231244900,0,61,10,0
5114702231244900,0,61,10,0
5114703564768402,0,74,7,0
5114703564768402,0,74,7,0
5114703564768402,0,74,7,0
5114724302457043,10,1174,63,0
5114724302457043,10,1174,63,0
5114724302457043,10,1174,63,0
5114726241797617,4,260,44,0
5114726241797617,4,260,44,0
5114727223002310,1,312,28,0
5114727223002310,1,312,28,0
5114730054422951,19,247,7,0
5114730054422951,19,247,7,0
5114734286211676,1,77,37,0
5114734286211676,1,77,37,0
5114743471734801,0,66,3,0
5114743471734801,0,66,3,0
5114754567509197,0,33,6,0
5114754567509197,0,33,6,0
5114758997740286,4,413,42,0
5114758997740286,4,413,42,0
5115131149421899,0,42,4,0
5115131149421899,0,42,4,0
5115571283431746,0,2,230,0
5115571283431746,0,2,230,0
5115571283431746,0,2,230,0
5115571283431746,0,2,230,0
5115938496053650,1,1,220,0
5115938496053650,1,1,220,0
5115938496053650,1,1,220,0
5115938496053650,1,1,220,0
5116689171620345,0,42,7,0
5116689171620345,0,42,7,0
5117359960105891,1,38,13,0
5117359960105891,1,38,13,0
5117709135914382,1,47,18,0
5117709135914382,1,47,18,0
5117748591994555,1,11,36,0
5117748591994555,1,11,36,0
5119195015025442,3,17,4,0
5119195015025442,3,17,4,0
5119236097450796,0,50,5,0
5119236097450796,0,50,5,0
5119239251303359,8,644,4468,0
5119239251303359,8,644,4468,0
5120120003234058,5,6,6,0
5120120003234058,5,6,6,0
