item_id,repost_cnt,like_cnt,comment_cnt,is_origin
5063153399890218,2,77,10,0
5065353489810224,7,115,28,0
5070580162501365,0,13,5,0
5068080222308834,0,34,3,0
5052333113477064,0,0,5,0
5062480486993446,0,5,6,0
5074306447180814,1,423,22,0
5074285431358969,0,58,9,0
5074286803686616,0,85,17,0
5069137623913500,5,276,32,0
5062224797763283,0,12,11,0
5064703772722062,22,12,12,0
5081514737669949,2,30,29,0
5070580666336542,9,337,32,0
5065353489810224,7,115,28,0
5077486838744697,8,352,350,0
5052023695477925,0,22,13,0
5053107077646790,21,501,651,0
5068006248679164,0,14,8,0
5053974067551307,0,0,3,0
5065202430904859,0,278,11,0
5064813864813433,0,129,655,0
5064432537309713,7,227,10,0
5064810640968192,1,35,140,0
5065591723660625,20,267,15,0
5064433485224369,2,74,4,0
5065616563902069,59,416,36,0
5064477269295231,0,3,3,0
5064646906348685,1,2,4,0
5065232301165326,7,30,7,0
5066160527378118,2,6,5,0
5073855540888939,4,66,58,0
5057164883005379,23,64,12,0
5077519277230434,3,100,15,0
5072725739571994,3,55,3,0
5072768752419175,2,138,252,0
5072744742390197,9,412,11,0
5072800192923092,394,418,405,0
5072753107403084,3,85,43,0
5072785846834435,0,24,8,0
5072817143681721,1,47,57,0
5072299323032351,1,33,3,0
5072732594638448,3,71,26,0
5072742589924564,59,192,19,0
5064323842706321,95,1512,57,0
5071349223786304,0,67,56,0
5066160527378118,2,6,5,0
5060041667248382,0,0,4,0
5061502254191101,1,8,7,0
5068079614659635,0,16,23,0
5062841901515368,1,48,6,0
5065035812439255,0,32,142,0
5075184807313601,33,29,30,0
5052866621873895,5,18,10,0
5065611877290112,11,62,29,0
5070971361036078,7,99,11,0
5063763288129573,2,94,56,0
5061754499110221,13,31,4,0
5052344268489955,7,30,14,0
5082546045978821,116,8325,158,0
5082437340102699,1,167,38,0
5073624321228817,50,241,26,0
5083260663890392,3,8,3,0
5065591723660625,20,267,15,0
5068405168144946,0,42,102,0
5068350322903903,0,56,171,0
5066898427349527,0,12,5,0
5077486838744697,8,352,350,0
5071666881236222,1,36,46,0
